Hedge Fund,Stock,Symbol,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,Avg Price
Coatue Management,American airlines group inc,AAL,19415,237000,0.00,,119,19415,,new,0.00,Q1 2020,TRANSPORTS,12.19
Coatue Management,Turning point brands inc,TPB,10904,230000,0.00,0.01,120,-52097,-82.69,reduction,0.06,Q2 2019,CONSUMER STAPLES,32.31
Coatue Management,Sprouts farmers market inc,SFM,12324,229000,0.00,0.01,121,-24911,-66.90,reduction,0.01,Q3 2019,CONSUMER DISCRETIONARY,19.34
Coatue Management,Skechers usa  inc. class a,SKX,9622,228000,0.00,,122,9622,,new,0.01,Q1 2020,CONSUMER DISCRETIONARY,23.74
Coatue Management,Central garden & pet co. class a,CENTA,8746,224000,0.00,,123,8746,,new,0.02,Q2 2019,CONSUMER STAPLES,25.57
Coatue Management,Planet fitness inc,PLNT,4476,218000,0.00,0.01,124,-4111,-47.87,reduction,0.01,Q3 2019,CONSUMER DISCRETIONARY,57.87
Coatue Management,Fedex corporation,FDX,1784,216000,0.00,,125,1784,,new,0.00,Q2 2019,TRANSPORTS,121.26
Coatue Management,Citi trends inc,CTRN,23961,213000,0.00,,126,23961,,new,0.21,Q1 2020,CONSUMER DISCRETIONARY,8.90
Coatue Management,Aarons inc. class a,AAN,9287,212000,0.00,0.01,127,-7096,-43.31,reduction,0.01,Q4 2019,CONSUMER DISCRETIONARY,57.11
Coatue Management,Cheesecake factory  inc. (the),CAKE,12282,210000,0.00,,128,12282,,new,0.03,Q1 2020,CONSUMER DISCRETIONARY,17.08
Coatue Management,Natural grocers by vitamin cottage  inc.,NGVC,24670,210000,0.00,,129,24670,,new,0.11,Q1 2020,CONSUMER STAPLES,8.51
Coatue Management,Tempur sealy international inc,TPX,4745,207000,0.00,,130,4745,,new,0.01,Q1 2020,CONSUMER DISCRETIONARY,43.71
Coatue Management,Chegg inc,CHGG,5752,206000,0.00,0.00,131,-938,-14.02,reduction,0.00,Q4 2019,CONSUMER DISCRETIONARY,37.91
Coatue Management,Abercrombie & fitch co.,ANF,22402,204000,0.00,0.00,132,-4666,-17.24,reduction,0.04,Q1 2019,CONSUMER DISCRETIONARY,17.29
Coatue Management,Zynga  inc.,ZNGA,28685,196000,0.00,,133,28685,,new,0.00,Q2 2019,INFORMATION TECHNOLOGY,6.85
Coatue Management,Fossil group inc.,FOSL,55683,183000,0.00,,134,55683,,new,0.11,Q4 2018,CONSUMER DISCRETIONARY,3.29
Coatue Management,Rent-a-center inc.,RCII,12140,172000,0.00,0.00,135,-1100,-8.31,reduction,0.02,Q3 2019,CONSUMER DISCRETIONARY,25.79
Coatue Management,Axogen inc,AXGN,16474,171000,0.00,,136,16474,,new,0.04,Q1 2020,HEALTH CARE,10.40
Coatue Management,Conns inc,CONN,40328,169000,0.00,0.01,137,-12329,-23.41,reduction,0.14,Q4 2019,CONSUMER DISCRETIONARY,12.39
Coatue Management,L brands inc,LB,14559,168000,0.00,,138,14559,,new,0.01,Q3 2018,CONSUMER DISCRETIONARY,11.56
Coatue Management,Office depot inc,ODP,97017,159000,0.00,0.00,139,26116,36.83,addition,0.02,Q3 2018,CONSUMER DISCRETIONARY,2.44
Coatue Management,Hibbett sports  inc.,HIBB,11278,123000,0.00,,140,11278,,new,0.07,Q1 2020,CONSUMER DISCRETIONARY,10.94
Coatue Management,Sally beauty holdings inc,SBH,14475,117000,0.00,,141,14475,,new,0.01,Q3 2019,CONSUMER DISCRETIONARY,8.08
Coatue Management,Macys inc,M,22770,112000,0.00,0.02,142,-113550,-83.30,reduction,0.01,Q2 2018,CONSUMER DISCRETIONARY,15.62
Coatue Management,Ethan allen interiors  inc.,ETH,10206,104000,0.00,,143,10206,,new,0.04,Q1 2020,CONSUMER DISCRETIONARY,10.22
Coatue Management,Tivity health inc,TVTY,16219,102000,0.00,,144,16219,,new,0.03,Q3 2019,HEALTH CARE,6.29
Coatue Management,Alphatec holdings inc,ATEC,28958,100000,0.00,,145,28958,,new,0.05,Q1 2020,HEALTH CARE,3.45
Coatue Management,At home group inc,HOME,41685,84000,0.00,,146,41685,,new,0.07,Q1 2020,CONSUMER DISCRETIONARY,2.02
Coatue Management,Sportsmans warehouse holdings inc,SPWH,12445,77000,0.00,,147,12445,,new,0.03,Q1 2019,CONSUMER DISCRETIONARY,6.16
Coatue Management,Coty inc.,COTY,12046,62000,0.00,,148,12046,,new,0.00,Q3 2019,CONSUMER STAPLES,5.16
Coatue Management,Republic first bancorp. inc.,FRBK,10593,23000,0.00,,149,10593,,new,0.02,Q1 2020,FINANCE,2.19
Coatue Management,New media investment group inc,GCI,13439,20000,0.00,0.00,150,-1992,-12.91,reduction,0.01,Q4 2019,COMMUNICATIONS,6.38
Light Street Capital Management,Amazon.com inc.,AMZN,57068,111267000,5.85,5.81,1,4520,8.60,addition,0.01,Q4 2014,CONSUMER DISCRETIONARY,788.48
Light Street Capital Management,Slack technologies inc,WORK,4078953,109479000,5.76,4.99,2,365192,9.83,addition,1.40,Q2 2019,INFORMATION TECHNOLOGY,36.55
Light Street Capital Management,Sea ltd adr,SE,2328443,103173000,5.43,11.02,3,-2254900,-49.20,reduction,0.50,Q1 2019,INFORMATION TECHNOLOGY,23.77
Light Street Capital Management,Netflix inc,NFLX,197020,73981000,3.89,7.77,4,-204380,-50.92,reduction,0.04,Q4 2018,COMMUNICATIONS,282.24
Light Street Capital Management,Match group inc,MTCH,1043509,68913000,3.63,4.66,5,94556,9.96,addition,0.37,Q2 2017,COMMUNICATIONS,47.23
Light Street Capital Management,Crowdstrike holdings inc,CRWD,1163510,64784000,3.41,2.70,6,258259,28.53,addition,0.55,Q2 2019,INFORMATION TECHNOLOGY,51.16
Light Street Capital Management,Wayfair inc class a,W,1156298,61793000,3.25,,7,1156298,,new,1.23,Q3 2017,CONSUMER DISCRETIONARY,53.44
Light Street Capital Management,Lyft inc,LYFT,2103324,56474000,2.97,7.00,8,-618504,-22.72,reduction,0.69,Q1 2019,CONSUMER DISCRETIONARY,56.08
Light Street Capital Management,Uber technologies inc,UBER,1953146,54532000,2.87,3.89,9,-231300,-10.59,reduction,0.11,Q2 2019,CONSUMER DISCRETIONARY,35.35
Light Street Capital Management,Broadcom ltd. (avago technologies),AVGO,228500,54177000,2.85,,10,228500,,new,0.06,Q1 2020,INFORMATION TECHNOLOGY,237.10
Light Street Capital Management,Gilead sciences inc.,GILD,698600,52227000,2.75,,11,698600,,new,0.06,Q1 2020,HEALTH CARE,74.76
Light Street Capital Management,Asml holding nv (adr),ASML,199237,52128000,2.74,2.88,12,36437,22.38,addition,0.05,Q4 2019,INFORMATION TECHNOLOGY,289.67
Light Street Capital Management,Activision blizzard inc,ATVI,859800,51141000,2.69,3.92,13,-242000,-21.96,reduction,0.11,Q4 2019,INFORMATION TECHNOLOGY,59.42
Light Street Capital Management,Alibaba group holding ltd adr,BABA,259700,50506000,2.66,4.67,14,-108800,-29.53,reduction,0.01,Q3 2019,COMMUNICATIONS,199.19
Light Street Capital Management,Paypal holdings inc,PYPL,524900,50254000,2.64,,15,524900,,new,0.04,Q1 2020,COMMUNICATIONS,95.74
Light Street Capital Management,Gds holdings ltd adr,GDS,845156,48994000,2.58,2.89,16,-92900,-9.90,reduction,0.56,Q1 2019,COMMUNICATIONS,36.25
Light Street Capital Management,Datadog inc,DDOG,1334676,48022000,2.53,,17,1334676,,new,0.45,Q1 2020,INFORMATION TECHNOLOGY,35.98
Light Street Capital Management,Smartsheet inc,SMAR,1144762,47519000,2.50,1.99,18,403483,54.43,addition,0.96,Q2 2019,INFORMATION TECHNOLOGY,43.72
Light Street Capital Management,Dynatrace inc,DT,1992306,47497000,2.50,2.48,19,355600,21.73,addition,0.71,Q3 2019,INFORMATION TECHNOLOGY,20.50
